690.00,0.00,0.00,3.00,3.10,-72.93,424797
690.00,0.00,0.00,3.00,3.05,-14.09,424900
690.00,0.00,0.00,3.00,2.82,105.14,425003
690.00,0.00,0.00,3.00,3.22,-151.89,425106
690.00,0.00,0.00,3.00,2.85,100.49,425209
690.00,0.00,0.00,3.00,3.00,-12.54,425312
690.00,0.00,0.00,3.00,3.14,-74.47,425415
690.00,0.00,0.00,3.00,2.79,134.55,425518
690.00,0.00,0.00,3.00,3.18,-125.57,425621
690.00,0.00,0.00,3.00,2.94,46.30,425724
690.00,0.00,0.00,3.00,2.91,37.01,425827
690.00,0.00,0.00,3.00,3.20,-119.38,425930
690.00,0.00,0.00,3.00,2.82,139.20,426033
690.00,0.00,0.00,3.00,3.08,-58.99,426136
690.00,0.00,0.00,3.00,3.08,-37.31,426239
690.00,0.00,0.00,3.00,2.81,111.33,426342
690.00,0.00,0.00,3.00,3.21,-150.34,426445
690.00,0.00,0.00,3.00,2.89,69.52,426548
690.00,0.00,0.00,3.00,2.96,18.43,426651
690.00,0.00,0.00,3.00,3.17,-102.34,426754
690.00,0.00,0.00,3.00,2.80,142.30,426857
690.00,0.00,0.00,3.00,3.13,-119.38,426960
690.00,0.00,0.00,3.00,3.00,-3.25,427063
690.00,0.00,0.00,3.00,2.86,89.65,427166
690.00,0.00,0.00,3.00,3.20,-137.96,427269
690.00,0.00,0.00,3.00,2.84,126.81,427372
690.00,0.00,0.00,3.00,3.04,-29.57,427475
690.00,0.00,0.00,3.00,3.09,-51.25,427578
690.00,0.00,0.00,3.00,2.82,114.43,427681
690.00,0.00,0.00,3.00,3.18,-131.76,427784
690.00,0.00,0.00,3.00,2.91,95.85,427887
690.00,0.00,0.00,3.00,2.96,27.72,427990
690.00,0.00,0.00,3.00,3.16,-105.44,428093
690.00,0.00,0.00,3.00,2.80,142.30,428196
690.00,0.00,0.00,3.00,3.14,-114.73,428299
690.00,0.00,0.00,3.00,3.00,46.30,428402
690.00,0.00,0.00,3.00,2.87,91.20,428505
690.00,0.00,0.00,3.00,3.21,-144.15,428608
690.00,0.00,0.00,3.00,2.84,123.72,428711
690.00,0.00,0.00,3.00,3.03,-54.34,428814
690.00,0.00,0.00,3.00,3.12,-82.22,428917
690.00,0.00,0.00,3.00,2.80,134.55,429020
690.00,0.00,0.00,3.00,3.19,-139.50,429123
690.00,0.00,0.00,3.00,2.92,85.01,429226
690.00,0.00,0.00,3.00,2.94,-1.70,429329
690.00,0.00,0.00,3.00,3.18,-119.38,429432
690.00,0.00,0.00,3.00,2.81,137.65,429535
690.00,0.00,0.00,3.00,3.12,-102.34,429638
690.00,0.00,0.00,3.00,3.02,30.81,429741
690.00,0.00,0.00,3.00,2.86,98.94,429844
690.00,0.00,0.00,3.00,3.20,-141.05,429947
690.00,0.00,0.00,3.00,2.85,117.52,430050
690.00,0.00,0.00,3.00,3.03,-54.34,430153
690.00,0.00,0.00,3.00,3.10,-74.47,430256
690.00,0.00,0.00,3.00,2.80,136.10,430359
690.00,0.00,0.00,3.00,3.20,-144.15,430462
690.00,0.00,0.00,3.00,2.92,78.81,430565
690.00,0.00,0.00,3.00,2.94,4.49,430668
690.00,0.00,0.00,3.00,3.19,-131.76,430771
690.00,0.00,0.00,3.00,2.78,153.13,430874
690.00,0.00,0.00,3.00,3.12,-103.89,430977
690.00,0.00,0.00,3.00,3.02,19.98,431080
690.00,0.00,0.00,3.00,2.83,71.07,431183
690.00,0.00,0.00,3.00,3.23,-159.63,431286
690.00,0.00,0.00,3.00,2.83,126.81,431389
690.00,0.00,0.00,3.00,3.03,-43.51,431492
690.00,0.00,0.00,3.00,3.14,-62.09,431595
690.00,0.00,0.00,3.00,2.77,142.30,431698
690.00,0.00,0.00,3.00,3.18,-131.76,431801
690.00,0.00,0.00,3.00,2.96,46.30,431904
690.00,0.00,0.00,3.00,2.89,47.85,432007
690.00,0.00,0.00,3.00,3.21,-119.38,432110
690.00,0.00,0.00,3.00,2.80,134.55,432213
690.00,0.00,0.00,3.00,3.09,-72.93,432316
690.00,0.00,0.00,3.00,3.06,-17.18,432419
