1104.00,8117.00,37.00,3.14,3.24,-23.78,49316
1104.00,8117.00,37.00,3.14,3.23,-23.78,49320
1104.00,8117.00,37.00,3.14,3.23,-23.78,49324
1104.00,8117.00,37.00,3.14,3.23,-23.45,49328
1104.00,8117.00,37.00,3.14,3.22,-23.45,49332
1104.00,8117.00,37.00,3.14,3.22,-11.61,49336
1104.00,8117.00,37.00,3.14,3.22,-11.61,49340
1104.00,8117.00,37.00,3.14,3.21,-11.61,49343
1104.00,8117.00,37.00,3.14,3.21,-18.31,49347
1104.00,8117.00,37.00,3.14,3.21,-18.31,49351
1104.00,8117.00,37.00,3.14,3.21,-16.16,49355
1104.00,8117.00,37.00,3.14,3.20,-16.16,49359
1104.00,8117.00,37.00,3.14,3.20,-16.16,49363
1104.00,8117.00,37.00,3.14,3.20,-13.47,49367
1104.00,8117.00,37.00,3.14,3.20,-13.47,49371
1104.00,8117.00,37.00,3.14,3.19,-10.22,49375
1104.00,8117.00,37.00,3.14,3.19,-10.22,49379
1104.00,8117.00,37.00,3.14,3.19,-10.22,49383
1104.00,8117.00,37.00,3.14,3.19,-28.36,49387
1104.00,8117.00,37.00,3.14,3.19,-28.36,49391
1104.00,8117.00,37.00,3.14,3.19,-28.36,49395
1104.00,8117.00,37.00,3.14,3.19,-29.71,49399
1104.00,8117.00,37.00,3.14,3.19,-29.71,49403
1104.00,8117.00,37.00,3.14,3.18,-19.91,49407
1104.00,8117.00,37.00,3.14,3.18,-19.91,49411
1104.00,8117.00,37.00,3.14,3.18,-19.91,49415
1104.00,8117.00,37.00,3.14,3.18,-18.05,49419
1104.00,8117.00,37.00,3.14,3.18,-18.05,49423
1104.00,8117.00,37.00,3.14,3.17,-4.87,49426
1104.00,8117.00,37.00,3.14,3.17,-4.87,49430
1104.00,8117.00,37.00,3.14,3.17,-4.87,49434
1104.00,8117.00,37.00,3.14,3.17,-10.40,49438
1104.00,8117.00,37.00,3.14,3.17,-10.40,49442
1104.00,8117.00,37.00,3.14,3.17,-18.23,49446
1104.00,8117.00,37.00,3.14,3.17,-18.23,49450
1104.00,8117.00,37.00,3.14,3.17,-18.23,49454
1104.00,8117.00,37.00,3.14,3.16,-17.58,49458
1104.00,8117.00,37.00,3.14,3.16,-17.58,49462
1104.00,8117.00,37.00,3.14,3.16,-27.70,49466
1104.00,8117.00,37.00,3.14,3.16,-27.70,49470
1104.00,8117.00,37.00,3.14,3.16,-27.70,49474
1104.00,8117.00,37.00,3.14,3.16,-29.52,49478
1104.00,8117.00,37.00,3.14,3.16,-29.52,49482
1104.00,8117.00,37.00,3.14,3.16,-29.52,49486
1104.00,8117.00,37.00,3.14,3.16,-20.38,49490
1104.00,8117.00,37.00,3.14,3.16,-20.38,49494
1104.00,8117.00,37.00,3.14,3.16,-19.36,49498
1104.00,8117.00,37.00,3.14,3.16,-19.36,49501
1104.00,8117.00,37.00,3.14,3.16,-18.16,49505
1104.00,8117.00,37.00,3.14,3.16,-18.16,49509
1104.00,8117.00,37.00,3.14,3.16,-18.16,49513
1104.00,8117.00,37.00,3.14,3.16,-27.74,49517
1104.00,8117.00,37.00,3.14,3.16,-27.74,49521
1104.00,8117.00,37.00,3.14,3.16,-27.74,49525
1104.00,8117.00,37.00,3.14,3.16,-29.01,49529
1104.00,8117.00,37.00,3.14,3.16,-29.01,49533
1104.00,8117.00,37.00,3.14,3.16,-30.29,49537
1104.00,8117.00,37.00,3.14,3.16,-30.29,49541
1104.00,8117.00,37.00,3.14,3.16,-30.29,49545
1104.00,8117.00,37.00,3.14,3.15,-9.64,49549
1104.00,8117.00,37.00,3.14,3.15,-9.64,49553
1104.00,8117.00,37.00,3.14,3.15,-5.23,49557
1104.00,8117.00,37.00,3.14,3.15,-5.23,49560
1104.00,8117.00,37.00,3.14,3.15,-5.23,49564
1104.00,8117.00,37.00,3.14,3.15,-11.42,49568
1104.00,8117.00,37.00,3.14,3.15,-11.42,49572
1104.00,8117.00,37.00,3.14,3.15,-11.42,49576
1104.00,8117.00,37.00,3.14,3.15,-20.09,49580
1104.00,8117.00,37.00,3.14,3.15,-20.09,49584
1104.00,8117.00,37.00,3.14,3.15,-20.45,49588
1104.00,8117.00,37.00,3.14,3.15,-20.45,49592
1104.00,8117.00,37.00,3.14,3.14,-20.45,49596
1104.00,8117.00,37.00,3.14,3.14,-9.85,49600
